CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C8192,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
0,C8192,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
2,C1024,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
2,C1024,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
3,C2048,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
4,C256,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
4,C256,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
5,C512,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
5,C512,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
6,C128,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
6,C128,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
7,C64,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
7,C64,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
8,C32,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
8,C32,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
9,C16,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
9,C16,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
10,C8,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
10,C8,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
11,C4,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
11,C4,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
12,C2,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
12,C2,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
13,C1,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
13,C1,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
