CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C3877,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
1,C10450,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
2,C9186,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
5,C1574,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
9,C1781,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
10,C560,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
11,C1123,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
12,C9724,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
13,C16272,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
14,C5176,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
15,C1284,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
17,C8673,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
20,C3805,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
22,C5238,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
24,C493,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
26,C9539,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
28,C9397,F1,MainDestinationsEspressoTests.clickOnBottomNavOpenLocalScreen
2,C9186,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
5,C1574,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
9,C1781,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
10,C560,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
11,C1123,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
12,C9724,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
15,C1284,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
17,C8673,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
24,C493,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
26,C9539,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
28,C9397,F2,MainDestinationsEspressoTests.clickOnBottomNavOpenGlobalScreen
