CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C8191,F1,ScreenshotsTest.testAppFirstView
0,C8191,F2,ScreenshotsTest.testItemList
0,C8191,F3,AppRoutePresenterTest.testNoSecurityDialog
0,C8191,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
1,C12287,F1,ScreenshotsTest.testAppFirstView
1,C12287,F2,ScreenshotsTest.testItemList
1,C12287,F3,AppRoutePresenterTest.testNoSecurityDialog
1,C12287,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
2,C15359,F1,ScreenshotsTest.testAppFirstView
2,C15359,F2,ScreenshotsTest.testItemList
2,C15359,F3,AppRoutePresenterTest.testNoSecurityDialog
2,C15359,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
3,C14335,F1,ScreenshotsTest.testAppFirstView
3,C14335,F2,ScreenshotsTest.testItemList
3,C14335,F3,AppRoutePresenterTest.testNoSecurityDialog
3,C14335,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
4,C16127,F1,ScreenshotsTest.testAppFirstView
4,C16127,F2,ScreenshotsTest.testItemList
4,C16127,F3,AppRoutePresenterTest.testNoSecurityDialog
4,C16127,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
5,C15871,F1,ScreenshotsTest.testAppFirstView
5,C15871,F2,ScreenshotsTest.testItemList
5,C15871,F3,AppRoutePresenterTest.testNoSecurityDialog
5,C15871,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
6,C16255,F1,ScreenshotsTest.testAppFirstView
6,C16255,F2,ScreenshotsTest.testItemList
6,C16255,F3,AppRoutePresenterTest.testNoSecurityDialog
6,C16255,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
7,C16319,F1,ScreenshotsTest.testAppFirstView
7,C16319,F2,ScreenshotsTest.testItemList
7,C16319,F3,AppRoutePresenterTest.testNoSecurityDialog
7,C16319,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
8,C16351,F1,ScreenshotsTest.testAppFirstView
8,C16351,F2,ScreenshotsTest.testItemList
8,C16351,F3,AppRoutePresenterTest.testNoSecurityDialog
8,C16351,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
9,C16367,F1,ScreenshotsTest.testAppFirstView
9,C16367,F2,ScreenshotsTest.testItemList
9,C16367,F3,AppRoutePresenterTest.testNoSecurityDialog
9,C16367,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
10,C16375,F1,ScreenshotsTest.testAppFirstView
10,C16375,F2,ScreenshotsTest.testItemList
10,C16375,F3,AppRoutePresenterTest.testNoSecurityDialog
10,C16375,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
11,C16379,F1,ScreenshotsTest.testAppFirstView
11,C16379,F2,ScreenshotsTest.testItemList
11,C16379,F3,AppRoutePresenterTest.testNoSecurityDialog
11,C16379,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
12,C16381,F1,ScreenshotsTest.testAppFirstView
12,C16381,F2,ScreenshotsTest.testItemList
12,C16381,F3,AppRoutePresenterTest.testNoSecurityDialog
12,C16381,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
13,C16382,F1,ScreenshotsTest.testAppFirstView
13,C16382,F2,ScreenshotsTest.testItemList
13,C16382,F3,AppRoutePresenterTest.testNoSecurityDialog
13,C16382,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
