CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C8192,F1,ScreenshotsTest.testAppFirstView
0,C8192,F2,ScreenshotsTest.testItemList
0,C8192,F3,AppRoutePresenterTest.testNoSecurityDialog
0,C8192,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
1,C4096,F1,ScreenshotsTest.testAppFirstView
1,C4096,F2,ScreenshotsTest.testItemList
1,C4096,F3,AppRoutePresenterTest.testNoSecurityDialog
1,C4096,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
2,C1024,F1,ScreenshotsTest.testAppFirstView
2,C1024,F2,ScreenshotsTest.testItemList
2,C1024,F3,AppRoutePresenterTest.testNoSecurityDialog
2,C1024,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
3,C2048,F1,ScreenshotsTest.testAppFirstView
3,C2048,F2,ScreenshotsTest.testItemList
3,C2048,F3,AppRoutePresenterTest.testNoSecurityDialog
3,C2048,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
4,C256,F1,ScreenshotsTest.testAppFirstView
4,C256,F2,ScreenshotsTest.testItemList
4,C256,F3,AppRoutePresenterTest.testNoSecurityDialog
4,C256,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
5,C512,F1,ScreenshotsTest.testAppFirstView
5,C512,F2,ScreenshotsTest.testItemList
5,C512,F3,AppRoutePresenterTest.testNoSecurityDialog
5,C512,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
6,C128,F1,ScreenshotsTest.testAppFirstView
6,C128,F2,ScreenshotsTest.testItemList
6,C128,F3,AppRoutePresenterTest.testNoSecurityDialog
6,C128,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
7,C64,F1,ScreenshotsTest.testAppFirstView
7,C64,F2,ScreenshotsTest.testItemList
7,C64,F3,AppRoutePresenterTest.testNoSecurityDialog
7,C64,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
8,C32,F1,ScreenshotsTest.testAppFirstView
8,C32,F2,ScreenshotsTest.testItemList
8,C32,F3,AppRoutePresenterTest.testNoSecurityDialog
8,C32,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
9,C16,F1,ScreenshotsTest.testAppFirstView
9,C16,F2,ScreenshotsTest.testItemList
9,C16,F3,AppRoutePresenterTest.testNoSecurityDialog
9,C16,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
10,C8,F1,ScreenshotsTest.testAppFirstView
10,C8,F2,ScreenshotsTest.testItemList
10,C8,F3,AppRoutePresenterTest.testNoSecurityDialog
10,C8,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
11,C4,F1,ScreenshotsTest.testAppFirstView
11,C4,F2,ScreenshotsTest.testItemList
11,C4,F3,AppRoutePresenterTest.testNoSecurityDialog
11,C4,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
12,C2,F1,ScreenshotsTest.testAppFirstView
12,C2,F2,ScreenshotsTest.testItemList
12,C2,F3,AppRoutePresenterTest.testNoSecurityDialog
12,C2,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
13,C1,F1,ScreenshotsTest.testAppFirstView
13,C1,F2,ScreenshotsTest.testItemList
13,C1,F3,AppRoutePresenterTest.testNoSecurityDialog
13,C1,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
