CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C16383,F1,ScreenshotsTest.testAppFirstView
0,C16383,F2,ScreenshotsTest.testItemList
0,C16383,F3,AppRoutePresenterTest.testNoSecurityDialog
0,C16383,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
1,C10446,F1,ScreenshotsTest.testAppFirstView
1,C10446,F2,ScreenshotsTest.testItemList
1,C10446,F3,AppRoutePresenterTest.testNoSecurityDialog
1,C10446,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
2,C5937,F1,ScreenshotsTest.testAppFirstView
2,C5937,F2,ScreenshotsTest.testItemList
2,C5937,F3,AppRoutePresenterTest.testNoSecurityDialog
2,C5937,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
3,C9640,F1,ScreenshotsTest.testAppFirstView
3,C9640,F2,ScreenshotsTest.testItemList
3,C9640,F3,AppRoutePresenterTest.testNoSecurityDialog
3,C9640,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
4,C5135,F1,ScreenshotsTest.testAppFirstView
4,C5135,F2,ScreenshotsTest.testItemList
4,C5135,F3,AppRoutePresenterTest.testNoSecurityDialog
4,C5135,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
5,C14386,F1,ScreenshotsTest.testAppFirstView
5,C14386,F2,ScreenshotsTest.testItemList
5,C14386,F3,AppRoutePresenterTest.testNoSecurityDialog
5,C14386,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
6,C965,F1,ScreenshotsTest.testAppFirstView
6,C965,F2,ScreenshotsTest.testItemList
6,C965,F3,AppRoutePresenterTest.testNoSecurityDialog
6,C965,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
7,C2640,F1,ScreenshotsTest.testAppFirstView
7,C2640,F2,ScreenshotsTest.testItemList
7,C2640,F3,AppRoutePresenterTest.testNoSecurityDialog
7,C2640,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
