CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C3511,F1,ScreenshotsTest.testAppFirstView
1,C15999,F1,ScreenshotsTest.testAppFirstView
2,C8445,F1,ScreenshotsTest.testAppFirstView
3,C8170,F1,ScreenshotsTest.testAppFirstView
4,C15820,F1,ScreenshotsTest.testAppFirstView
5,C115,F1,ScreenshotsTest.testAppFirstView
6,C12733,F1,ScreenshotsTest.testAppFirstView
7,C7848,F1,ScreenshotsTest.testAppFirstView
8,C290,F1,ScreenshotsTest.testAppFirstView
9,C10601,F1,ScreenshotsTest.testAppFirstView
10,C9267,F1,ScreenshotsTest.testAppFirstView
11,C14354,F1,ScreenshotsTest.testAppFirstView
12,C10053,F1,ScreenshotsTest.testAppFirstView
13,C8316,F1,ScreenshotsTest.testAppFirstView
14,C1513,F1,ScreenshotsTest.testAppFirstView
15,C4198,F1,ScreenshotsTest.testAppFirstView
16,C9972,F1,ScreenshotsTest.testAppFirstView
17,C1748,F1,ScreenshotsTest.testAppFirstView
18,C8651,F1,ScreenshotsTest.testAppFirstView
19,C13665,F1,ScreenshotsTest.testAppFirstView
20,C14067,F1,ScreenshotsTest.testAppFirstView
21,C2964,F1,ScreenshotsTest.testAppFirstView
22,C4140,F1,ScreenshotsTest.testAppFirstView
23,C7217,F1,ScreenshotsTest.testAppFirstView
24,C6954,F1,ScreenshotsTest.testAppFirstView
25,C12140,F1,ScreenshotsTest.testAppFirstView
26,C159,F1,ScreenshotsTest.testAppFirstView
27,C5869,F1,ScreenshotsTest.testAppFirstView
28,C2623,F1,ScreenshotsTest.testAppFirstView
29,C9542,F1,ScreenshotsTest.testAppFirstView
0,C3511,F2,ScreenshotsTest.testItemList
1,C15999,F2,ScreenshotsTest.testItemList
2,C8445,F2,ScreenshotsTest.testItemList
3,C8170,F2,ScreenshotsTest.testItemList
4,C15820,F2,ScreenshotsTest.testItemList
5,C115,F2,ScreenshotsTest.testItemList
6,C12733,F2,ScreenshotsTest.testItemList
7,C7848,F2,ScreenshotsTest.testItemList
8,C290,F2,ScreenshotsTest.testItemList
9,C10601,F2,ScreenshotsTest.testItemList
10,C9267,F2,ScreenshotsTest.testItemList
11,C14354,F2,ScreenshotsTest.testItemList
12,C10053,F2,ScreenshotsTest.testItemList
13,C8316,F2,ScreenshotsTest.testItemList
14,C1513,F2,ScreenshotsTest.testItemList
15,C4198,F2,ScreenshotsTest.testItemList
16,C9972,F2,ScreenshotsTest.testItemList
17,C1748,F2,ScreenshotsTest.testItemList
18,C8651,F2,ScreenshotsTest.testItemList
19,C13665,F2,ScreenshotsTest.testItemList
20,C14067,F2,ScreenshotsTest.testItemList
21,C2964,F2,ScreenshotsTest.testItemList
22,C4140,F2,ScreenshotsTest.testItemList
23,C7217,F2,ScreenshotsTest.testItemList
24,C6954,F2,ScreenshotsTest.testItemList
25,C12140,F2,ScreenshotsTest.testItemList
26,C159,F2,ScreenshotsTest.testItemList
27,C5869,F2,ScreenshotsTest.testItemList
28,C2623,F2,ScreenshotsTest.testItemList
29,C9542,F2,ScreenshotsTest.testItemList
0,C3511,F3,AppRoutePresenterTest.testNoSecurityDialog
1,C15999,F3,AppRoutePresenterTest.testNoSecurityDialog
2,C8445,F3,AppRoutePresenterTest.testNoSecurityDialog
3,C8170,F3,AppRoutePresenterTest.testNoSecurityDialog
4,C15820,F3,AppRoutePresenterTest.testNoSecurityDialog
5,C115,F3,AppRoutePresenterTest.testNoSecurityDialog
6,C12733,F3,AppRoutePresenterTest.testNoSecurityDialog
7,C7848,F3,AppRoutePresenterTest.testNoSecurityDialog
8,C290,F3,AppRoutePresenterTest.testNoSecurityDialog
9,C10601,F3,AppRoutePresenterTest.testNoSecurityDialog
10,C9267,F3,AppRoutePresenterTest.testNoSecurityDialog
11,C14354,F3,AppRoutePresenterTest.testNoSecurityDialog
12,C10053,F3,AppRoutePresenterTest.testNoSecurityDialog
13,C8316,F3,AppRoutePresenterTest.testNoSecurityDialog
14,C1513,F3,AppRoutePresenterTest.testNoSecurityDialog
15,C4198,F3,AppRoutePresenterTest.testNoSecurityDialog
16,C9972,F3,AppRoutePresenterTest.testNoSecurityDialog
17,C1748,F3,AppRoutePresenterTest.testNoSecurityDialog
18,C8651,F3,AppRoutePresenterTest.testNoSecurityDialog
19,C13665,F3,AppRoutePresenterTest.testNoSecurityDialog
20,C14067,F3,AppRoutePresenterTest.testNoSecurityDialog
21,C2964,F3,AppRoutePresenterTest.testNoSecurityDialog
22,C4140,F3,AppRoutePresenterTest.testNoSecurityDialog
23,C7217,F3,AppRoutePresenterTest.testNoSecurityDialog
24,C6954,F3,AppRoutePresenterTest.testNoSecurityDialog
25,C12140,F3,AppRoutePresenterTest.testNoSecurityDialog
26,C159,F3,AppRoutePresenterTest.testNoSecurityDialog
27,C5869,F3,AppRoutePresenterTest.testNoSecurityDialog
28,C2623,F3,AppRoutePresenterTest.testNoSecurityDialog
29,C9542,F3,AppRoutePresenterTest.testNoSecurityDialog
0,C3511,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
1,C15999,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
2,C8445,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
3,C8170,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
4,C15820,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
5,C115,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
6,C12733,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
7,C7848,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
8,C290,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
9,C10601,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
10,C9267,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
11,C14354,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
12,C10053,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
13,C8316,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
14,C1513,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
15,C4198,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
16,C9972,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
17,C1748,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
18,C8651,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
19,C13665,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
20,C14067,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
21,C2964,F4,OnboardingTest.autofillSkipButtonNavigatesToItemList
