CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C8192,F1,TransactionsFragmentTest.testFilter
0,C8192,F2,TransactionsFragmentTest.testOpenDepositAccount
2,C1024,F1,TransactionsFragmentTest.testFilter
2,C1024,F2,TransactionsFragmentTest.testOpenDepositAccount
4,C256,F1,TransactionsFragmentTest.testFilter
4,C256,F2,TransactionsFragmentTest.testOpenDepositAccount
5,C512,F1,TransactionsFragmentTest.testFilter
5,C512,F2,TransactionsFragmentTest.testOpenDepositAccount
6,C128,F1,TransactionsFragmentTest.testFilter
6,C128,F2,TransactionsFragmentTest.testOpenDepositAccount
7,C64,F1,TransactionsFragmentTest.testFilter
7,C64,F2,TransactionsFragmentTest.testOpenDepositAccount
8,C32,F1,TransactionsFragmentTest.testFilter
8,C32,F2,TransactionsFragmentTest.testOpenDepositAccount
9,C16,F1,TransactionsFragmentTest.testFilter
9,C16,F2,TransactionsFragmentTest.testOpenDepositAccount
10,C8,F1,TransactionsFragmentTest.testFilter
10,C8,F2,TransactionsFragmentTest.testOpenDepositAccount
11,C4,F1,TransactionsFragmentTest.testFilter
11,C4,F2,TransactionsFragmentTest.testOpenDepositAccount
12,C2,F1,TransactionsFragmentTest.testFilter
12,C2,F2,TransactionsFragmentTest.testOpenDepositAccount
13,C1,F1,TransactionsFragmentTest.testFilter
13,C1,F2,TransactionsFragmentTest.testOpenDepositAccount
