CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C8192,F1,EnableApiFragmentTest.testSkip
2,C1024,F1,EnableApiFragmentTest.testSkip
3,C2048,F1,EnableApiFragmentTest.testSkip
4,C256,F1,EnableApiFragmentTest.testSkip
5,C512,F1,EnableApiFragmentTest.testSkip
6,C128,F1,EnableApiFragmentTest.testSkip
7,C64,F1,EnableApiFragmentTest.testSkip
8,C32,F1,EnableApiFragmentTest.testSkip
9,C16,F1,EnableApiFragmentTest.testSkip
10,C8,F1,EnableApiFragmentTest.testSkip
11,C4,F1,EnableApiFragmentTest.testSkip
12,C2,F1,EnableApiFragmentTest.testSkip
13,C1,F1,EnableApiFragmentTest.testSkip
0,C8192,F2,EnableApiFragmentTest.testRequest
1,C4096,F2,EnableApiFragmentTest.testRequest
3,C2048,F2,EnableApiFragmentTest.testRequest
4,C256,F2,EnableApiFragmentTest.testRequest
5,C512,F2,EnableApiFragmentTest.testRequest
6,C128,F2,EnableApiFragmentTest.testRequest
7,C64,F2,EnableApiFragmentTest.testRequest
8,C32,F2,EnableApiFragmentTest.testRequest
9,C16,F2,EnableApiFragmentTest.testRequest
10,C8,F2,EnableApiFragmentTest.testRequest
11,C4,F2,EnableApiFragmentTest.testRequest
12,C2,F2,EnableApiFragmentTest.testRequest
13,C1,F2,EnableApiFragmentTest.testRequest
4,C256,F3,ExplanationFragmentTest.testExplanationStep1To2
0,C8192,F3,ExplanationFragmentTest.testExplanationStep1To2
1,C4096,F3,ExplanationFragmentTest.testExplanationStep1To2
2,C1024,F3,ExplanationFragmentTest.testExplanationStep1To2
3,C2048,F3,ExplanationFragmentTest.testExplanationStep1To2
5,C512,F3,ExplanationFragmentTest.testExplanationStep1To2
6,C128,F3,ExplanationFragmentTest.testExplanationStep1To2
7,C64,F3,ExplanationFragmentTest.testExplanationStep1To2
8,C32,F3,ExplanationFragmentTest.testExplanationStep1To2
9,C16,F3,ExplanationFragmentTest.testExplanationStep1To2
10,C8,F3,ExplanationFragmentTest.testExplanationStep1To2
11,C4,F3,ExplanationFragmentTest.testExplanationStep1To2
12,C2,F3,ExplanationFragmentTest.testExplanationStep1To2
13,C1,F3,ExplanationFragmentTest.testExplanationStep1To2
0,C8192,F4,"HowItWorksDetailFragmentTest.testRequest"""
1,C4096,F4,"HowItWorksDetailFragmentTest.testRequest"""
2,C1024,F4,"HowItWorksDetailFragmentTest.testRequest"""
3,C2048,F4,"HowItWorksDetailFragmentTest.testRequest"""
4,C256,F4,"HowItWorksDetailFragmentTest.testRequest"""
5,C512,F4,"HowItWorksDetailFragmentTest.testRequest"""
6,C128,F4,"HowItWorksDetailFragmentTest.testRequest"""
7,C64,F4,"HowItWorksDetailFragmentTest.testRequest"""
8,C32,F4,"HowItWorksDetailFragmentTest.testRequest"""
9,C16,F4,"HowItWorksDetailFragmentTest.testRequest"""
10,C8,F4,"HowItWorksDetailFragmentTest.testRequest"""
11,C4,F4,"HowItWorksDetailFragmentTest.testRequest"""
12,C2,F4,"HowItWorksDetailFragmentTest.testRequest"""
13,C1,F4,"HowItWorksDetailFragmentTest.testRequest"""
0,C8192,F5,HowItWorksFragmentTest.testRequest
1,C4096,F5,HowItWorksFragmentTest.testRequest
3,C2048,F5,HowItWorksFragmentTest.testRequest
4,C256,F5,HowItWorksFragmentTest.testRequest
5,C512,F5,HowItWorksFragmentTest.testRequest
6,C128,F5,HowItWorksFragmentTest.testRequest
7,C64,F5,HowItWorksFragmentTest.testRequest
8,C32,F5,HowItWorksFragmentTest.testRequest
9,C16,F5,HowItWorksFragmentTest.testRequest
10,C8,F5,HowItWorksFragmentTest.testRequest
11,C4,F5,HowItWorksFragmentTest.testRequest
12,C2,F5,HowItWorksFragmentTest.testRequest
13,C1,F5,HowItWorksFragmentTest.testRequest
0,C8192,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
1,C4096,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
3,C2048,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
4,C256,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
5,C512,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
6,C128,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
7,C64,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
8,C32,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
9,C16,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
10,C8,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
11,C4,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
12,C2,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
13,C1,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
