CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
7,C2640,F1,EnableApiFragmentTest.testSkip
1,C10446,F2,EnableApiFragmentTest.testRequest
5,C14386,F2,EnableApiFragmentTest.testRequest
6,C965,F2,EnableApiFragmentTest.testRequest
7,C2640,F2,EnableApiFragmentTest.testRequest
1,C10446,F3,ExplanationFragmentTest.testExplanationStep1To2
4,C5135,F3,ExplanationFragmentTest.testExplanationStep1To2
5,C14386,F3,ExplanationFragmentTest.testExplanationStep1To2
7,C2640,F3,ExplanationFragmentTest.testExplanationStep1To2
1,C10446,F4,HowItWorksDetailFragmentTest.testRequest
2,C5937,F4,HowItWorksDetailFragmentTest.testRequest
4,C5135,F4,HowItWorksDetailFragmentTest.testRequest
5,C14386,F4,HowItWorksDetailFragmentTest.testRequest
6,C965,F4,HowItWorksDetailFragmentTest.testRequest
7,C2640,F4,HowItWorksDetailFragmentTest.testRequest
1,C10446,F5,HowItWorksFragmentTest.testRequest
5,C14386,F5,HowItWorksFragmentTest.testRequest
6,C965,F5,HowItWorksFragmentTest.testRequest
7,C2640,F5,HowItWorksFragmentTest.testRequest
1,C10446,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
5,C14386,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
6,C965,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
7,C2640,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
