CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
2,C5369,F1,EnableApiFragmentTest.testSkip
8,C8898,F1,EnableApiFragmentTest.testSkip
9,C2397,F1,EnableApiFragmentTest.testSkip
11,C1418,F1,EnableApiFragmentTest.testSkip
16,C13474,F1,EnableApiFragmentTest.testSkip
18,C1045,F1,EnableApiFragmentTest.testSkip
25,C8907,F1,EnableApiFragmentTest.testSkip
28,C2034,F1,EnableApiFragmentTest.testSkip
29,C10866,F1,EnableApiFragmentTest.testSkip
1,C12314,F2,EnableApiFragmentTest.testRequest
5,C5008,F2,EnableApiFragmentTest.testRequest
8,C8898,F2,EnableApiFragmentTest.testRequest
9,C2397,F2,EnableApiFragmentTest.testRequest
10,C397,F2,EnableApiFragmentTest.testRequest
13,C6655,F2,EnableApiFragmentTest.testRequest
15,C12354,F2,EnableApiFragmentTest.testRequest
19,C783,F2,EnableApiFragmentTest.testRequest
0,C5185,F3,ExplanationFragmentTest.testExplanationStep1To2
1,C12314,F3,ExplanationFragmentTest.testExplanationStep1To2
2,C5369,F3,ExplanationFragmentTest.testExplanationStep1To2
4,C1607,F3,ExplanationFragmentTest.testExplanationStep1To2
6,C15409,F3,ExplanationFragmentTest.testExplanationStep1To2
8,C8898,F3,ExplanationFragmentTest.testExplanationStep1To2
9,C2397,F3,ExplanationFragmentTest.testExplanationStep1To2
15,C12354,F3,ExplanationFragmentTest.testExplanationStep1To2
16,C13474,F3,ExplanationFragmentTest.testExplanationStep1To2
18,C1045,F3,ExplanationFragmentTest.testExplanationStep1To2
19,C783,F3,ExplanationFragmentTest.testExplanationStep1To2
20,C7917,F3,ExplanationFragmentTest.testExplanationStep1To2
22,C1718,F3,ExplanationFragmentTest.testExplanationStep1To2
23,C14580,F3,ExplanationFragmentTest.testExplanationStep1To2
24,C7437,F3,ExplanationFragmentTest.testExplanationStep1To2
25,C8907,F3,ExplanationFragmentTest.testExplanationStep1To2
26,C4703,F3,ExplanationFragmentTest.testExplanationStep1To2
28,C2034,F3,ExplanationFragmentTest.testExplanationStep1To2
29,C10866,F3,ExplanationFragmentTest.testExplanationStep1To2
0,C5185,F4,HowItWorksDetailFragmentTest.testRequest
1,C12314,F4,HowItWorksDetailFragmentTest.testRequest
2,C5369,F4,HowItWorksDetailFragmentTest.testRequest
4,C1607,F4,HowItWorksDetailFragmentTest.testRequest
5,C5008,F4,HowItWorksDetailFragmentTest.testRequest
6,C15409,F4,HowItWorksDetailFragmentTest.testRequest
7,C8017,F4,HowItWorksDetailFragmentTest.testRequest
8,C8898,F4,HowItWorksDetailFragmentTest.testRequest
9,C2397,F4,HowItWorksDetailFragmentTest.testRequest
10,C397,F4,HowItWorksDetailFragmentTest.testRequest
11,C1418,F4,HowItWorksDetailFragmentTest.testRequest
13,C6655,F4,HowItWorksDetailFragmentTest.testRequest
15,C12354,F4,HowItWorksDetailFragmentTest.testRequest
17,C5547,F4,HowItWorksDetailFragmentTest.testRequest
18,C1045,F4,HowItWorksDetailFragmentTest.testRequest
19,C783,F4,HowItWorksDetailFragmentTest.testRequest
20,C7917,F4,HowItWorksDetailFragmentTest.testRequest
22,C1718,F4,HowItWorksDetailFragmentTest.testRequest
23,C14580,F4,HowItWorksDetailFragmentTest.testRequest
24,C7437,F4,HowItWorksDetailFragmentTest.testRequest
25,C8907,F4,HowItWorksDetailFragmentTest.testRequest
26,C4703,F4,HowItWorksDetailFragmentTest.testRequest
27,C12622,F4,HowItWorksDetailFragmentTest.testRequest
28,C2034,F4,HowItWorksDetailFragmentTest.testRequest
29,C10866,F4,HowItWorksDetailFragmentTest.testRequest
1,C12314,F5,HowItWorksFragmentTest.testRequest
5,C5008,F5,HowItWorksFragmentTest.testRequest
8,C8898,F5,HowItWorksFragmentTest.testRequest
9,C2397,F5,HowItWorksFragmentTest.testRequest
10,C397,F5,HowItWorksFragmentTest.testRequest
13,C6655,F5,HowItWorksFragmentTest.testRequest
15,C12354,F5,HowItWorksFragmentTest.testRequest
19,C783,F5,HowItWorksFragmentTest.testRequest
1,C12314,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
5,C5008,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
8,C8898,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
9,C2397,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
10,C397,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
13,C6655,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
15,C12354,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
19,C783,F6,StatusFragmentTest.testRemoveConnectionIssuesNotification
