CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C8191,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
1,C12287,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
2,C15359,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
3,C14335,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
4,C16127,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
5,C15871,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
6,C16255,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
7,C16319,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
8,C16351,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
9,C16367,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
10,C16375,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
11,C16379,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
12,C16381,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
13,C16382,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
0,C8191,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
1,C12287,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
2,C15359,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
3,C14335,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
5,C15871,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
6,C16255,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
8,C16351,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
9,C16367,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
11,C16379,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
12,C16381,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
13,C16382,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
0,C8191,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
