CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C8192,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
1,C4096,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
2,C1024,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
3,C2048,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
4,C256,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
5,C512,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
6,C128,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
7,C64,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
8,C32,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
9,C16,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
10,C8,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
11,C4,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
12,C2,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
13,C1,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
0,C8192,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
2,C1024,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
3,C2048,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
4,C256,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
5,C512,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
7,C64,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
9,C16,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
10,C8,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
11,C4,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
12,C2,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
0,C8192,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
1,C4096,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
2,C1024,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
3,C2048,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
4,C256,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
5,C512,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
6,C128,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
7,C64,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
8,C32,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
9,C16,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
10,C8,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
11,C4,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
12,C2,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
13,C1,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
