CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C16383,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
1,C10446,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
2,C5937,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
3,C9640,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
4,C5135,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
5,C14386,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
6,C965,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
7,C2640,F1,LoadActivityTests.loadActivityCanLoadConfigFromContentURL
0,C16383,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
2,C5937,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
6,C965,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
7,C2640,F2,LogViewerActivityTests.logViewerActivityExportFiresIntent
4,C5135,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
6,C965,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
7,C2640,F3,ContactActivityTests.testClickingOnContactLoadsContactOnMap
