CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C8191,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
5,C15871,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
0,C8191,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
1,C12287,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
2,C15359,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
3,C14335,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
4,C16127,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
5,C15871,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
6,C16255,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
7,C16319,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
8,C16351,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
9,C16367,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
10,C16375,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
11,C16379,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
12,C16381,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
13,C16382,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
