CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C8192,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
2,C1024,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
4,C256,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
5,C512,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
6,C128,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
7,C64,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
8,C32,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
9,C16,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
10,C8,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
11,C4,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
12,C2,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
13,C1,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
0,C8192,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
2,C1024,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
3,C2048,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
4,C256,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
5,C512,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
6,C128,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
7,C64,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
8,C32,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
9,C16,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
10,C8,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
11,C4,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
12,C2,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
13,C1,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
0,C8192,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
1,C4096,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
2,C1024,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
3,C2048,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
4,C256,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
5,C512,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
6,C128,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
7,C64,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
8,C32,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
9,C16,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
10,C8,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
11,C4,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
12,C2,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
13,C1,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
0,C8192,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
2,C1024,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
4,C256,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
5,C512,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
6,C128,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
7,C64,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
8,C32,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
9,C16,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
10,C8,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
11,C4,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
12,C2,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
13,C1,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
