CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
3,C10784,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
5,C11999,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
6,C795,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
8,C968,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
9,C10067,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
11,C10197,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
13,C3523,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
15,C2381,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
16,C12188,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
17,C14687,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
18,C7703,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
20,C10462,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
21,C9261,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
22,C12632,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
24,C3629,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
25,C754,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
29,C1498,F1,DetailDestinationsEspressoTests.openCapsulesDetailFragment
3,C10784,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
4,C13018,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
5,C11999,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
6,C795,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
8,C968,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
9,C10067,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
11,C10197,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
12,C5919,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
13,C3523,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
15,C2381,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
16,C12188,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
20,C10462,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
21,C9261,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
24,C3629,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
25,C754,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
27,C2301,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
28,C10962,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
29,C1498,F2,DetailDestinationsEspressoTests.openCoresDetailFragment
0,C4723,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
1,C14823,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
2,C5883,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
3,C10784,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
4,C13018,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
5,C11999,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
6,C795,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
7,C4273,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
8,C968,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
9,C10067,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
10,C12954,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
11,C10197,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
12,C5919,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
13,C3523,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
14,C4480,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
15,C2381,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
16,C12188,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
17,C14687,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
18,C7703,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
19,C4410,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
20,C10462,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
21,C9261,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
22,C12632,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
23,C13121,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
24,C3629,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
25,C754,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
26,C6439,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
27,C2301,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
28,C10962,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
29,C1498,F3,LaunchNotificationWorkerTest.testLaunchNotificationWorker
6,C795,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
8,C968,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
9,C10067,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
11,C10197,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
15,C2381,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
17,C14687,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
21,C9261,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
24,C3629,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
25,C754,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
29,C1498,F4,DetailDestinationsEspressoTests.openLaunchesDetailFragment
