CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C8191,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
1,C12287,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
2,C15359,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
3,C14335,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
4,C16127,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
5,C15871,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
7,C16319,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
8,C16351,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
9,C16367,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
10,C16375,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
11,C16379,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
12,C16381,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
13,C16382,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
