CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C12974,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
1,C6833,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
2,C3289,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
3,C6846,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
9,C6047,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
11,C740,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
14,C11399,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
15,C13965,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
19,C4051,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
21,C9615,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
22,C1780,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
23,C6597,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
24,C16290,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
28,C7597,F1,BackgroundErrorNotificationTest.testNotificationWithoutAction
