CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C8192,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
0,C8192,F2,KeyboardScreenTest.verifyClearResetsInput
0,C8192,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
0,C8192,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
0,C8192,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
0,C8192,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
0,C8192,F7,MainScreenTest.verifyDefaultTextAppears
1,C4096,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
1,C4096,F2,KeyboardScreenTest.verifyClearResetsInput
1,C4096,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
1,C4096,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
1,C4096,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
1,C4096,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
1,C4096,F7,MainScreenTest.verifyDefaultTextAppears
2,C1024,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
2,C1024,F2,KeyboardScreenTest.verifyClearResetsInput
2,C1024,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
2,C1024,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
2,C1024,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
2,C1024,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
2,C1024,F7,MainScreenTest.verifyDefaultTextAppears
3,C2048,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
3,C2048,F2,KeyboardScreenTest.verifyClearResetsInput
3,C2048,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
3,C2048,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
3,C2048,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
3,C2048,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
3,C2048,F7,MainScreenTest.verifyDefaultTextAppears
4,C256,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
4,C256,F2,KeyboardScreenTest.verifyClearResetsInput
4,C256,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
4,C256,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
4,C256,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
4,C256,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
4,C256,F7,MainScreenTest.verifyDefaultTextAppears
5,C512,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
5,C512,F2,KeyboardScreenTest.verifyClearResetsInput
5,C512,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
5,C512,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
5,C512,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
