CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
2,C5937,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
2,C5937,F2,KeyboardScreenTest.verifyClearResetsInput
2,C5937,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
2,C5937,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
2,C5937,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
2,C5937,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
2,C5937,F7,MainScreenTest.verifyDefaultTextAppears
3,C9640,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
3,C9640,F2,KeyboardScreenTest.verifyClearResetsInput
3,C9640,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
3,C9640,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
3,C9640,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
3,C9640,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
3,C9640,F7,MainScreenTest.verifyDefaultTextAppears
4,C5135,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
4,C5135,F2,KeyboardScreenTest.verifyClearResetsInput
4,C5135,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
4,C5135,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
4,C5135,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
4,C5135,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
4,C5135,F7,MainScreenTest.verifyDefaultTextAppears
5,C14386,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
5,C14386,F2,KeyboardScreenTest.verifyClearResetsInput
5,C14386,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
5,C14386,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
5,C14386,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
5,C14386,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
5,C14386,F7,MainScreenTest.verifyDefaultTextAppears
