CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
1,C8098,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
5,C11798,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
6,C4008,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
12,C8832,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
13,C15513,F1,KeyboardScreenTest.verifyBackspaceRemovesLetters
1,C8098,F2,KeyboardScreenTest.verifyClearResetsInput
5,C11798,F2,KeyboardScreenTest.verifyClearResetsInput
6,C4008,F2,KeyboardScreenTest.verifyClearResetsInput
12,C8832,F2,KeyboardScreenTest.verifyClearResetsInput
13,C15513,F2,KeyboardScreenTest.verifyClearResetsInput
1,C8098,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
5,C11798,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
6,C4008,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
12,C8832,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
13,C15513,F3,KeyboardScreenTest.verifyKeyboardButtonBringsUpKeyboard
1,C8098,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
5,C11798,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
6,C4008,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
12,C8832,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
13,C15513,F4,KeyboardScreenTest.verifyPhraseAppearsWhenTyped
1,C8098,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
5,C11798,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
6,C4008,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
12,C8832,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
13,C15513,F5,KeyboardScreenTest.verifyPresetsButtonReturnsToHome
1,C8098,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
5,C11798,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
6,C4008,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
12,C8832,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
13,C15513,F6,MainScreenTest.verifyClickingPhraseUpdatesCurrentText
1,C8098,F7,MainScreenTest.verifyDefaultTextAppears
5,C11798,F7,MainScreenTest.verifyDefaultTextAppears
6,C4008,F7,MainScreenTest.verifyDefaultTextAppears
12,C8832,F7,MainScreenTest.verifyDefaultTextAppears
13,C15513,F7,MainScreenTest.verifyDefaultTextAppears
