CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
3,C2048,F1,ContactUsTests.sendButtonEnabledWhenTextIsEntered
0,C8192,F10,ReaderTests.likePost
2,C1024,F10,ReaderTests.likePost
4,C256,F10,ReaderTests.likePost
5,C512,F10,ReaderTests.likePost
6,C128,F10,ReaderTests.likePost
7,C64,F10,ReaderTests.likePost
8,C32,F10,ReaderTests.likePost
9,C16,F10,ReaderTests.likePost
10,C8,F10,ReaderTests.likePost
11,C4,F10,ReaderTests.likePost
12,C2,F10,ReaderTests.likePost
13,C1,F10,ReaderTests.likePost
0,C8192,F11,ReaderTests.navigateThroughPosts
2,C1024,F11,ReaderTests.navigateThroughPosts
4,C256,F11,ReaderTests.navigateThroughPosts
5,C512,F11,ReaderTests.navigateThroughPosts
6,C128,F11,ReaderTests.navigateThroughPosts
7,C64,F11,ReaderTests.navigateThroughPosts
8,C32,F11,ReaderTests.navigateThroughPosts
9,C16,F11,ReaderTests.navigateThroughPosts
10,C8,F11,ReaderTests.navigateThroughPosts
11,C4,F11,ReaderTests.navigateThroughPosts
12,C2,F11,ReaderTests.navigateThroughPosts
13,C1,F11,ReaderTests.navigateThroughPosts
0,C8192,F12,SignUpTests.signUpWithMagicLink
2,C1024,F12,SignUpTests.signUpWithMagicLink
4,C256,F12,SignUpTests.signUpWithMagicLink
5,C512,F12,SignUpTests.signUpWithMagicLink
6,C128,F12,SignUpTests.signUpWithMagicLink
7,C64,F12,SignUpTests.signUpWithMagicLink
8,C32,F12,SignUpTests.signUpWithMagicLink
9,C16,F12,SignUpTests.signUpWithMagicLink
10,C8,F12,SignUpTests.signUpWithMagicLink
11,C4,F12,SignUpTests.signUpWithMagicLink
12,C2,F12,SignUpTests.signUpWithMagicLink
13,C1,F12,SignUpTests.signUpWithMagicLink
0,C8192,F13,StatsTests.allDayStatsLoad
2,C1024,F13,StatsTests.allDayStatsLoad
4,C256,F13,StatsTests.allDayStatsLoad
5,C512,F13,StatsTests.allDayStatsLoad
6,C128,F13,StatsTests.allDayStatsLoad
7,C64,F13,StatsTests.allDayStatsLoad
8,C32,F13,StatsTests.allDayStatsLoad
9,C16,F13,StatsTests.allDayStatsLoad
10,C8,F13,StatsTests.allDayStatsLoad
11,C4,F13,StatsTests.allDayStatsLoad
12,C2,F13,StatsTests.allDayStatsLoad
13,C1,F13,StatsTests.allDayStatsLoad
0,C8192,F2,BlockEditorTests.publishSimplePost
2,C1024,F2,BlockEditorTests.publishSimplePost
4,C256,F2,BlockEditorTests.publishSimplePost
