CONFIG_ID,GLOBAL_CONFIG_ID,FAILURE ID,FAILURE DESCRIPTION
0,C14662,F1,ContactUsTests.sendButtonEnabledWhenTextIsEntered
2,C11763,F1,ContactUsTests.sendButtonEnabledWhenTextIsEntered
4,C15698,F1,ContactUsTests.sendButtonEnabledWhenTextIsEntered
5,C7119,F1,ContactUsTests.sendButtonEnabledWhenTextIsEntered
6,C7459,F1,ContactUsTests.sendButtonEnabledWhenTextIsEntered
7,C10288,F1,ContactUsTests.sendButtonEnabledWhenTextIsEntered
16,C7989,F1,ContactUsTests.sendButtonEnabledWhenTextIsEntered
18,C11478,F1,ContactUsTests.sendButtonEnabledWhenTextIsEntered
19,C11403,F1,ContactUsTests.sendButtonEnabledWhenTextIsEntered
24,C3213,F1,ContactUsTests.sendButtonEnabledWhenTextIsEntered
27,C10970,F1,ContactUsTests.sendButtonEnabledWhenTextIsEntered
28,C11873,F1,ContactUsTests.sendButtonEnabledWhenTextIsEntered
8,C682,F10,ReaderTests.likePost
13,C1621,F10,ReaderTests.likePost
14,C517,F10,ReaderTests.likePost
21,C8459,F10,ReaderTests.likePost
22,C8422,F10,ReaderTests.likePost
23,C8318,F10,ReaderTests.likePost
8,C682,F11,ReaderTests.navigateThroughPosts
13,C1621,F11,ReaderTests.navigateThroughPosts
14,C517,F11,ReaderTests.navigateThroughPosts
21,C8459,F11,ReaderTests.navigateThroughPosts
22,C8422,F11,ReaderTests.navigateThroughPosts
23,C8318,F11,ReaderTests.navigateThroughPosts
8,C682,F12,SignUpTests.signUpWithMagicLink
13,C1621,F12,SignUpTests.signUpWithMagicLink
14,C517,F12,SignUpTests.signUpWithMagicLink
21,C8459,F12,SignUpTests.signUpWithMagicLink
22,C8422,F12,SignUpTests.signUpWithMagicLink
23,C8318,F12,SignUpTests.signUpWithMagicLink
8,C682,F13,StatsTests.allDayStatsLoad
13,C1621,F13,StatsTests.allDayStatsLoad
14,C517,F13,StatsTests.allDayStatsLoad
21,C8459,F13,StatsTests.allDayStatsLoad
22,C8422,F13,StatsTests.allDayStatsLoad
23,C8318,F13,StatsTests.allDayStatsLoad
8,C682,F2,BlockEditorTests.publishSimplePost
13,C1621,F2,BlockEditorTests.publishSimplePost
14,C517,F2,BlockEditorTests.publishSimplePost
21,C8459,F2,BlockEditorTests.publishSimplePost
22,C8422,F2,BlockEditorTests.publishSimplePost
23,C8318,F2,BlockEditorTests.publishSimplePost
8,C682,F5,BlockEditorTests.blockEditorCanDisplayElementAddedInHtmlMode
13,C1621,F5,BlockEditorTests.blockEditorCanDisplayElementAddedInHtmlMode
14,C517,F5,BlockEditorTests.blockEditorCanDisplayElementAddedInHtmlMode
21,C8459,F5,BlockEditorTests.blockEditorCanDisplayElementAddedInHtmlMode
22,C8422,F5,BlockEditorTests.blockEditorCanDisplayElementAddedInHtmlMode
23,C8318,F5,BlockEditorTests.blockEditorCanDisplayElementAddedInHtmlMode
8,C682,F6,BlockEditorTests.publishFullPost
13,C1621,F6,BlockEditorTests.publishFullPost
14,C517,F6,BlockEditorTests.publishFullPost
21,C8459,F6,BlockEditorTests.publishFullPost
22,C8422,F6,BlockEditorTests.publishFullPost
23,C8318,F6,BlockEditorTests.publishFullPost
8,C682,F7,LoginTests.loginWithEmailPassword
13,C1621,F7,LoginTests.loginWithEmailPassword
14,C517,F7,LoginTests.loginWithEmailPassword
21,C8459,F7,LoginTests.loginWithEmailPassword
22,C8422,F7,LoginTests.loginWithEmailPassword
23,C8318,F7,LoginTests.loginWithEmailPassword
8,C682,F8,LoginTests.loginWithSelfHostedAccount
13,C1621,F8,LoginTests.loginWithSelfHostedAccount
14,C517,F8,LoginTests.loginWithSelfHostedAccount
21,C8459,F8,LoginTests.loginWithSelfHostedAccount
22,C8422,F8,LoginTests.loginWithSelfHostedAccount
23,C8318,F8,LoginTests.loginWithSelfHostedAccount
8,C682,F9,LoginTests.loginWithSiteAddress
13,C1621,F9,LoginTests.loginWithSiteAddress
14,C517,F9,LoginTests.loginWithSiteAddress
21,C8459,F9,LoginTests.loginWithSiteAddress
22,C8422,F9,LoginTests.loginWithSiteAddress
23,C8318,F9,LoginTests.loginWithSiteAddress
