location,wifi,bluetooth,autorotate,camera,accelerometer,light,magneticfield,,,,
location,wifi,autorotate,batterysaver,camera,accelerometer,gyroscope,light,magneticfield,,,
location,wifi,mobiledata,bluetooth,autorotate,donotdisturb,camera,accelerometer,light,magneticfield,orientation,proximity
autorotate,batterysaver,light,magneticfield,,,,,,,,
wifi,mobiledata,bluetooth,batterysaver,donotdisturb,camera,accelerometer,orientation,proximity,,,
autorotate,batterysaver,camera,accelerometer,orientation,proximity,,,,,,
mobiledata,batterysaver,camera,accelerometer,gyroscope,proximity,,,,,,
location,bluetooth,donotdisturb,magneticfield,orientation,,,,,,,
batterysaver,donotdisturb,accelerometer,gyroscope,light,magneticfield,proximity,,,,,
location,batterysaver,donotdisturb,gyroscope,light,magneticfield,orientation,proximity,,,,
mobiledata,batterysaver,donotdisturb,accelerometer,orientation,proximity,,,,,,
wifi,bluetooth,batterysaver,accelerometer,,,,,,,,
location,wifi,autorotate,batterysaver,donotdisturb,accelerometer,proximity,,,,,
location,bluetooth,donotdisturb,accelerometer,light,magneticfield,,,,,,
wifi,mobiledata,bluetooth,gyroscope,light,magneticfield,proximity,,,,,
location,wifi,autorotate,batterysaver,camera,light,magneticfield,orientation,proximity,,,
location,wifi,mobiledata,bluetooth,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,proximity
location,donotdisturb,camera,gyroscope,proximity,,,,,,,
location,batterysaver,donotdisturb,camera,light,,,,,,,
location,wifi,mobiledata,bluetooth,batterysaver,donotdisturb,accelerometer,light,magneticfield,proximity,,
mobiledata,bluetooth,autorotate,light,magneticfield,orientation,proximity,,,,,
location,wifi,autorotate,batterysaver,accelerometer,gyroscope,magneticfield,orientation,proximity,,,
location,mobiledata,bluetooth,autorotate,camera,accelerometer,gyroscope,light,,,,
location,wifi,mobiledata,batterysaver,gyroscope,magneticfield,,,,,,
wifi,bluetooth,autorotate,donotdisturb,magneticfield,,,,,,,
location,mobiledata,batterysaver,camera,gyroscope,light,proximity,,,,,
mobiledata,bluetooth,batterysaver,donotdisturb,gyroscope,magneticfield,orientation,,,,,
wifi,mobiledata,bluetooth,autorotate,donotdisturb,,,,,,,
location,wifi,mobiledata,bluetooth,autorotate,donotdisturb,camera,accelerometer,,,,
bluetooth,batterysaver,donotdisturb,camera,accelerometer,magneticfield,proximity,,,,,
