location,batterysaver,camera,gyroscope,light,magneticfield,orientation,proximity,,
location,mobiledata,donotdisturb,camera,accelerometer,gyroscope,magneticfield,orientation,proximity,
wifi,autorotate,batterysaver,donotdisturb,camera,accelerometer,orientation,,,
bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,magneticfield,proximity,,
location,mobiledata,autorotate,camera,accelerometer,light,magneticfield,orientation,,
mobiledata,autorotate,donotdisturb,camera,orientation,proximity,,,,
location,mobiledata,autorotate,donotdisturb,gyroscope,,,,,
location,bluetooth,donotdisturb,gyroscope,magneticfield,proximity,,,,
location,wifi,bluetooth,autorotate,camera,accelerometer,light,orientation,,
autorotate,donotdisturb,gyroscope,magneticfield,proximity,,,,,
wifi,mobiledata,bluetooth,camera,light,,,,,
accelerometer,light,proximity,,,,,,,
bluetooth,autorotate,donotdisturb,accelerometer,gyroscope,proximity,,,,
location,wifi,mobiledata,bluetooth,autorotate,donotdisturb,camera,light,magneticfield,proximity
location,autorotate,batterysaver,gyroscope,magneticfield,proximity,,,,
bluetooth,donotdisturb,camera,,,,,,,
bluetooth,batterysaver,donotdisturb,camera,gyroscope,light,magneticfield,orientation,,
location,bluetooth,donotdisturb,magneticfield,orientation,proximity,,,,
location,wifi,mobiledata,batterysaver,donotdisturb,accelerometer,gyroscope,light,orientation,
location,wifi,autorotate,camera,accelerometer,gyroscope,light,orientation,,
donotdisturb,accelerometer,orientation,,,,,,,
location,bluetooth,autorotate,batterysaver,donotdisturb,magneticfield,orientation,proximity,,
autorotate,batterysaver,gyroscope,magneticfield,orientation,,,,,
donotdisturb,gyroscope,light,magneticfield,orientation,,,,,
location,wifi,autorotate,camera,gyroscope,light,magneticfield,proximity,,
location,mobiledata,bluetooth,autorotate,donotdisturb,accelerometer,orientation,,,
autorotate,batterysaver,camera,accelerometer,light,orientation,proximity,,,
mobiledata,autorotate,batterysaver,accelerometer,light,orientation,proximity,,,
location,mobiledata,bluetooth,batterysaver,accelerometer,light,magneticfield,orientation,proximity,
wifi,mobiledata,bluetooth,autorotate,camera,gyroscope,light,orientation,proximity,
