location,wifi,mobiledata,autorotate,camera,gyroscope,light,orientation,proximity,,,
location,mobiledata,batterysaver,donotdisturb,camera,orientation,proximity,,,,,
location,mobiledata,batterysaver,gyroscope,magneticfield,orientation,,,,,,
mobiledata,bluetooth,autorotate,camera,proximity,,,,,,,
wifi,autorotate,donotdisturb,camera,magneticfield,,,,,,,
location,mobiledata,bluetooth,autorotate,donotdisturb,magneticfield,,,,,,
wifi,bluetooth,autorotate,donotdisturb,camera,gyroscope,light,magneticfield,orientation,,,
wifi,autorotate,donotdisturb,accelerometer,gyroscope,light,orientation,proximity,,,,
autorotate,donotdisturb,camera,accelerometer,light,,,,,,,
bluetooth,autorotate,batterysaver,donotdisturb,orientation,proximity,,,,,,
wifi,mobiledata,proximity,,,,,,,,,
bluetooth,donotdisturb,magneticfield,,,,,,,,,
wifi,mobiledata,autorotate,donotdisturb,camera,accelerometer,gyroscope,orientation,,,,
mobiledata,batterysaver,donotdisturb,camera,accelerometer,magneticfield,orientation,proximity,,,,
location,autorotate,batterysaver,donotdisturb,magneticfield,proximity,,,,,,
location,wifi,mobiledata,bluetooth,accelerometer,gyroscope,,,,,,
wifi,mobiledata,donotdisturb,accelerometer,gyroscope,magneticfield,orientation,,,,,
mobiledata,bluetooth,autorotate,gyroscope,orientation,,,,,,,
location,wifi,bluetooth,batterysaver,accelerometer,light,magneticfield,orientation,proximity,,,
wifi,bluetooth,camera,gyroscope,magneticfield,proximity,,,,,,
location,mobiledata,bluetooth,autorotate,donotdisturb,camera,accelerometer,orientation,proximity,,,
bluetooth,autorotate,camera,,,,,,,,,
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,autorotate,camera,gyroscope,light,magneticfield,orientation,proximity,,,,
wifi,autorotate,batterysaver,donotdisturb,accelerometer,magneticfield,orientation,proximity,,,,
location,wifi,mobiledata,donotdisturb,camera,gyroscope,light,proximity,,,,
mobiledata,batterysaver,donotdisturb,camera,light,proximity,,,,,,
location,donotdisturb,camera,gyroscope,magneticfield,,,,,,,
wifi,autorotate,batterysaver,donotdisturb,camera,gyroscope,orientation,proximity,,,,
bluetooth,autorotate,batterysaver,donotdisturb,light,orientation,proximity,,,,,
