bluetooth,autorotate,batterysaver,accelerometer,light,magneticfield,,,,
location,wifi,bluetooth,batterysaver,donotdisturb,accelerometer,magneticfield,orientation,proximity,
mobiledata,donotdisturb,camera,magneticfield,,,,,,
location,wifi,camera,gyroscope,light,orientation,,,,
autorotate,batterysaver,donotdisturb,camera,orientation,,,,,
location,wifi,bluetooth,batterysaver,camera,light,orientation,proximity,,
location,wifi,mobiledata,autorotate,batterysaver,donotdisturb,accelerometer,magneticfield,,
location,mobiledata,batterysaver,camera,accelerometer,magneticfield,,,,
mobiledata,donotdisturb,camera,accelerometer,orientation,proximity,,,,
wifi,autorotate,batterysaver,accelerometer,gyroscope,magneticfield,orientation,,,
location,autorotate,magneticfield,proximity,,,,,,
location,bluetooth,autorotate,gyroscope,orientation,proximity,,,,
location,mobiledata,autorotate,donotdisturb,accelerometer,gyroscope,magneticfield,orientation,proximity,
location,bluetooth,autorotate,donotdisturb,camera,accelerometer,gyroscope,magneticfield,orientation,proximity
mobiledata,autorotate,camera,accelerometer,light,magneticfield,orientation,proximity,,
location,mobiledata,bluetooth,donotdisturb,camera,gyroscope,magneticfield,proximity,,
wifi,autorotate,donotdisturb,camera,light,magneticfield,orientation,proximity,,
wifi,batterysaver,donotdisturb,gyroscope,light,orientation,,,,
bluetooth,camera,accelerometer,gyroscope,orientation,proximity,,,,
location,wifi,autorotate,donotdisturb,camera,magneticfield,orientation,,,
wifi,mobiledata,batterysaver,donotdisturb,light,proximity,,,,
location,wifi,autorotate,donotdisturb,camera,accelerometer,gyroscope,light,orientation,proximity
location,donotdisturb,camera,light,magneticfield,orientation,,,,
mobiledata,autorotate,donotdisturb,camera,light,orientation,proximity,,,
location,autorotate,camera,accelerometer,magneticfield,proximity,,,,
mobiledata,autorotate,batterysaver,donotdisturb,gyroscope,light,orientation,,,
batterysaver,donotdisturb,gyroscope,light,magneticfield,orientation,proximity,,,
location,bluetooth,donotdisturb,accelerometer,light,proximity,,,,
bluetooth,autorotate,batterysaver,accelerometer,magneticfield,orientation,,,,
mobiledata,bluetooth,light,orientation,proximity,,,,,
