wifi,autorotate,camera,accelerometer,gyroscope,magneticfield,orientation,,,
wifi,bluetooth,autorotate,batterysaver,gyroscope,light,orientation,,,
location,batterysaver,donotdisturb,accelerometer,orientation,,,,,
location,bluetooth,autorotate,batterysaver,donotdisturb,light,proximity,,,
location,mobiledata,batterysaver,donotdisturb,accelerometer,gyroscope,light,magneticfield,orientation,proximity
wifi,autorotate,batterysaver,donotdisturb,accelerometer,gyroscope,magneticfield,orientation,,
autorotate,donotdisturb,camera,accelerometer,gyroscope,magneticfield,orientation,,,
wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,gyroscope,light,
wifi,bluetooth,accelerometer,gyroscope,magneticfield,proximity,,,,
location,mobiledata,bluetooth,autorotate,donotdisturb,accelerometer,light,orientation,proximity,
wifi,mobiledata,bluetooth,autorotate,donotdisturb,accelerometer,orientation,,,
wifi,autorotate,batterysaver,gyroscope,light,orientation,,,,
wifi,accelerometer,orientation,,,,,,,
location,mobiledata,bluetooth,batterysaver,camera,light,magneticfield,orientation,,
wifi,autorotate,donotdisturb,camera,magneticfield,orientation,proximity,,,
location,bluetooth,autorotate,accelerometer,gyroscope,proximity,,,,
wifi,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,,
mobiledata,bluetooth,donotdisturb,accelerometer,gyroscope,light,magneticfield,orientation,proximity,
wifi,mobiledata,autorotate,batterysaver,magneticfield,orientation,,,,
location,wifi,mobiledata,bluetooth,autorotate,accelerometer,,,,
wifi,mobiledata,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,,
wifi,mobiledata,autorotate,batterysaver,donotdisturb,accelerometer,proximity,,,
wifi,bluetooth,batterysaver,donotdisturb,camera,magneticfield,orientation,,,
bluetooth,magneticfield,proximity,,,,,,,
location,wifi,bluetooth,autorotate,batterysaver,donotdisturb,camera,gyroscope,light,magneticfield
mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,accelerometer,gyroscope,light,magneticfield,
autorotate,batterysaver,gyroscope,light,magneticfield,orientation,,,,
batterysaver,donotdisturb,camera,accelerometer,magneticfield,proximity,,,,
mobiledata,autorotate,donotdisturb,camera,accelerometer,,,,,
wifi,autorotate,gyroscope,orientation,proximity,,,,,
