mobiledata,bluetooth,batterysaver,donotdisturb,accelerometer,gyroscope,magneticfield,orientation,proximity,,,
location,wifi,mobiledata,bluetooth,autorotate,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,proximity,,,,
wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,light,orientation,,
location,wifi,mobiledata,bluetooth,batterysaver,donotdisturb,camera,light,magneticfield,,,
camera,accelerometer,gyroscope,orientation,proximity,,,,,,,
location,wifi,batterysaver,donotdisturb,accelerometer,gyroscope,light,magneticfield,proximity,,,
wifi,mobiledata,bluetooth,autorotate,donotdisturb,accelerometer,light,,,,,
batterysaver,accelerometer,orientation,,,,,,,,,
location,mobiledata,batterysaver,camera,accelerometer,light,proximity,,,,,
location,bluetooth,accelerometer,gyroscope,orientation,proximity,,,,,,
location,wifi,mobiledata,gyroscope,orientation,,,,,,,
location,bluetooth,autorotate,batterysaver,camera,magneticfield,proximity,,,,,
location,camera,accelerometer,gyroscope,light,magneticfield,,,,,,
bluetooth,batterysaver,donotdisturb,camera,accelerometer,light,proximity,,,,,
wifi,camera,accelerometer,magneticfield,orientation,,,,,,,
location,bluetooth,autorotate,donotdisturb,camera,accelerometer,gyroscope,magneticfield,,,,
bluetooth,autorotate,donotdisturb,camera,gyroscope,magneticfield,,,,,,
location,batterysaver,donotdisturb,camera,light,orientation,proximity,,,,,
location,wifi,bluetooth,batterysaver,camera,accelerometer,proximity,,,,,
location,wifi,bluetooth,autorotate,donotdisturb,camera,accelerometer,gyroscope,orientation,proximity,,
mobiledata,autorotate,batterysaver,donotdisturb,gyroscope,magneticfield,,,,,,
wifi,accelerometer,light,magneticfield,,,,,,,,
wifi,mobiledata,bluetooth,accelerometer,gyroscope,proximity,,,,,,
wifi,mobiledata,autorotate,batterysaver,accelerometer,light,orientation,,,,,
location,mobiledata,bluetooth,autorotate,batterysaver,camera,accelerometer,light,magneticfield,,,
donotdisturb,gyroscope,light,magneticfield,orientation,proximity,,,,,,
wifi,bluetooth,autorotate,donotdisturb,camera,accelerometer,light,magneticfield,proximity,,,
mobiledata,autorotate,accelerometer,gyroscope,light,magneticfield,orientation,proximity,,,,
location,bluetooth,batterysaver,camera,magneticfield,orientation,,,,,,
