wifi,bluetooth,camera,proximity,,,,,,,
location,wifi,gyroscope,light,orientation,,,,,,
wifi,bluetooth,donotdisturb,camera,accelerometer,gyroscope,light,proximity,,,
location,wifi,bluetooth,batterysaver,camera,accelerometer,gyroscope,orientation,,,
bluetooth,autorotate,camera,magneticfield,orientation,proximity,,,,,
wifi,autorotate,batterysaver,donotdisturb,gyroscope,,,,,,
location,wifi,mobiledata,bluetooth,accelerometer,gyroscope,proximity,,,,
wifi,mobiledata,bluetooth,autorotate,batterysaver,camera,gyroscope,proximity,,,
location,autorotate,donotdisturb,camera,orientation,,,,,,
mobiledata,batterysaver,camera,gyroscope,light,magneticfield,proximity,,,,
batterysaver,donotdisturb,light,magneticfield,proximity,,,,,,
bluetooth,batterysaver,donotdisturb,light,orientation,,,,,,
location,wifi,bluetooth,batterysaver,accelerometer,light,magneticfield,,,,
wifi,mobiledata,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,bluetooth,autorotate,batterysaver,accelerometer,orientation,,,,,
location,wifi,camera,orientation,,,,,,,
location,wifi,bluetooth,donotdisturb,accelerometer,orientation,,,,,
wifi,bluetooth,batterysaver,donotdisturb,accelerometer,light,orientation,proximity,,,
bluetooth,gyroscope,magneticfield,proximity,,,,,,,
autorotate,batterysaver,light,magneticfield,orientation,proximity,,,,,
wifi,mobiledata,bluetooth,autorotate,donotdisturb,camera,accelerometer,light,magneticfield,proximity,
location,wifi,bluetooth,batterysaver,accelerometer,orientation,,,,,
bluetooth,autorotate,donotdisturb,accelerometer,gyroscope,magneticfield,orientation,,,,
location,wifi,mobiledata,donotdisturb,camera,accelerometer,gyroscope,magneticfield,,,
wifi,mobiledata,bluetooth,batterysaver,light,magneticfield,proximity,,,,
location,autorotate,donotdisturb,camera,light,orientation,proximity,,,,
wifi,autorotate,camera,gyroscope,light,magneticfield,orientation,proximity,,,
location,wifi,batterysaver,camera,light,magneticfield,orientation,,,,
bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,orientation,,,
location,mobiledata,autorotate,camera,accelerometer,gyroscope,orientation,,,,
