wifi,autorotate,camera,accelerometer,gyroscope,orientation,proximity,,,,
location,wifi,mobiledata,batterysaver,donotdisturb,camera,accelerometer,magneticfield,orientation,proximity,
wifi,bluetooth,autorotate,donotdisturb,camera,accelerometer,gyroscope,light,orientation,proximity,
location,mobiledata,autorotate,accelerometer,,,,,,,
location,wifi,autorotate,donotdisturb,camera,gyroscope,light,orientation,,,
location,mobiledata,bluetooth,autorotate,donotdisturb,camera,gyroscope,light,magneticfield,orientation,proximity
autorotate,batterysaver,gyroscope,light,orientation,proximity,,,,,
wifi,donotdisturb,accelerometer,gyroscope,proximity,,,,,,
autorotate,batterysaver,donotdisturb,camera,light,,,,,,
location,bluetooth,autorotate,batterysaver,camera,gyroscope,orientation,proximity,,,
location,wifi,autorotate,donotdisturb,gyroscope,light,orientation,,,,
location,bluetooth,autorotate,batterysaver,donotdisturb,camera,gyroscope,magneticfield,proximity,,
wifi,bluetooth,autorotate,batterysaver,gyroscope,light,magneticfield,orientation,proximity,,
mobiledata,bluetooth,batterysaver,donotdisturb,camera,orientation,proximity,,,,
wifi,batterysaver,donotdisturb,,,,,,,,
mobiledata,batterysaver,camera,light,magneticfield,proximity,,,,,
location,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,gyroscope,light,magneticfield,,
location,wifi,mobiledata,batterysaver,camera,gyroscope,light,magneticfield,orientation,proximity,
wifi,mobiledata,bluetooth,autorotate,gyroscope,magneticfield,orientation,proximity,,,
wifi,batterysaver,accelerometer,gyroscope,light,orientation,,,,,
location,mobiledata,donotdisturb,camera,gyroscope,light,magneticfield,orientation,,,
location,bluetooth,accelerometer,light,magneticfield,proximity,,,,,
location,wifi,batterysaver,camera,gyroscope,light,,,,,
location,wifi,autorotate,batterysaver,camera,proximity,,,,,
mobiledata,bluetooth,autorotate,accelerometer,light,magneticfield,proximity,,,,
autorotate,donotdisturb,camera,accelerometer,gyroscope,orientation,,,,,
wifi,mobiledata,batterysaver,accelerometer,magneticfield,orientation,proximity,,,,
mobiledata,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,proximity,,,
location,mobiledata,autorotate,donotdisturb,camera,gyroscope,orientation,,,,
bluetooth,batterysaver,donotdisturb,camera,gyroscope,light,orientation,,,,
