location,wifi,autorotate,donotdisturb,accelerometer,light,magneticfield,orientation,,
wifi,mobiledata,autorotate,donotdisturb,accelerometer,gyroscope,proximity,,,
mobiledata,bluetooth,donotdisturb,camera,gyroscope,light,proximity,,,
wifi,mobiledata,autorotate,donotdisturb,accelerometer,gyroscope,light,magneticfield,orientation,
wifi,bluetooth,autorotate,camera,light,proximity,,,,
location,mobiledata,batterysaver,camera,accelerometer,light,magneticfield,orientation,,
location,wifi,bluetooth,autorotate,batterysaver,proximity,,,,
location,wifi,gyroscope,light,magneticfield,orientation,proximity,,,
light,magneticfield,,,,,,,,
wifi,bluetooth,autorotate,batterysaver,donotdisturb,gyroscope,light,magneticfield,orientation,proximity
wifi,bluetooth,autorotate,batterysaver,light,magneticfield,proximity,,,
autorotate,donotdisturb,camera,accelerometer,magneticfield,,,,,
location,wifi,camera,accelerometer,gyroscope,light,magneticfield,proximity,,
location,wifi,bluetooth,autorotate,camera,light,magneticfield,proximity,,
location,mobiledata,bluetooth,donotdisturb,magneticfield,orientation,proximity,,,
location,wifi,bluetooth,autorotate,donotdisturb,light,magneticfield,proximity,,
bluetooth,autorotate,batterysaver,accelerometer,gyroscope,magneticfield,,,,
wifi,bluetooth,batterysaver,camera,orientation,,,,,
location,bluetooth,camera,orientation,,,,,,
mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,gyroscope,orientation,proximity,
location,bluetooth,autorotate,camera,gyroscope,orientation,,,,
location,bluetooth,batterysaver,donotdisturb,light,magneticfield,orientation,proximity,,
bluetooth,autorotate,donotdisturb,camera,accelerometer,gyroscope,magneticfield,,,
wifi,mobiledata,batterysaver,donotdisturb,camera,magneticfield,proximity,,,
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,accelerometer,orientation,
autorotate,gyroscope,proximity,,,,,,,
location,wifi,bluetooth,autorotate,camera,accelerometer,gyroscope,light,proximity,
batterysaver,camera,gyroscope,light,magneticfield,orientation,proximity,,,
wifi,mobiledata,bluetooth,batterysaver,donotdisturb,accelerometer,light,magneticfield,proximity,
location,bluetooth,batterysaver,camera,gyroscope,light,orientation,,,
